date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:05:18	0/-1	---M--	307	error ('')			https://essential.gg/wiki	C:/Users/youareloser/Desktop/Srcs/Essential/esse/essential.gg/wiki.9e.delayed	(from https://essential.gg/terms-of-use)
20:05:18	0/-1	---M--	307	error ('')			https://essential.gg/wiki	C:/Users/youareloser/Desktop/Srcs/Essential/esse/essential.gg/wiki.9f.delayed	(from https://essential.gg/terms-of-use)
20:05:18	0/-1	---M--	301	error ('')			https://essential.gg/discord	C:/Users/youareloser/Desktop/Srcs/Essential/esse/essential.gg/discord.a0.delayed	(from https://essential.gg/terms-of-use)
20:05:18	0/-1	---M--	301	error ('')			https://essential.gg/github	C:/Users/youareloser/Desktop/Srcs/Essential/esse/essential.gg/github.a1.delayed	(from https://essential.gg/terms-of-use)
20:05:18	0/-1	---M--	301	error ('')			https://essential.gg/discord	C:/Users/youareloser/Desktop/Srcs/Essential/esse/essential.gg/discord.a2.delayed	(from https://essential.gg/terms-of-use)
20:05:18	0/-1	---M--	301	error ('')			https://essential.gg/twitter	C:/Users/youareloser/Desktop/Srcs/Essential/esse/essential.gg/twitter.a3.delayed	(from https://essential.gg/terms-of-use)
20:05:18	0/-1	---M--	301	error ('')			https://essential.gg/tiktok	C:/Users/youareloser/Desktop/Srcs/Essential/esse/essential.gg/tiktok.a4.delayed	(from https://essential.gg/terms-of-use)
20:05:18	0/-1	---M--	307	error ('')			https://essential.gg/wiki	C:/Users/youareloser/Desktop/Srcs/Essential/esse/essential.gg/wiki.a5.delayed	(from https://essential.gg/terms-of-use)
20:05:18	0/-1	---M--	301	error ('')			https://essential.gg/discord	C:/Users/youareloser/Desktop/Srcs/Essential/esse/essential.gg/discord.a6.delayed	(from https://essential.gg/terms-of-use)
20:05:18	0/-1	---M--	301	error ('')			https://essential.gg/github	C:/Users/youareloser/Desktop/Srcs/Essential/esse/essential.gg/github.a7.delayed	(from https://essential.gg/terms-of-use)
20:05:18	0/-1	---M--	301	error ('')			https://essential.gg/discord	C:/Users/youareloser/Desktop/Srcs/Essential/esse/essential.gg/discord.a8.delayed	(from https://essential.gg/terms-of-use)
20:05:18	0/-1	---M--	301	error ('')			https://essential.gg/twitter	C:/Users/youareloser/Desktop/Srcs/Essential/esse/essential.gg/twitter.a9.delayed	(from https://essential.gg/terms-of-use)
20:05:18	0/-1	---M--	301	error ('')			https://essential.gg/tiktok	C:/Users/youareloser/Desktop/Srcs/Essential/esse/essential.gg/tiktok.aa.delayed	(from https://essential.gg/terms-of-use)
20:05:18	0/-1	---M--	301	error ('')			https://essential.gg/privacy	C:/Users/youareloser/Desktop/Srcs/Essential/esse/essential.gg/privacy.ab.delayed	(from https://essential.gg/terms-of-use)
20:05:18	0/-1	---M--	307	error ('')			https://essential.gg/wiki	C:/Users/youareloser/Desktop/Srcs/Essential/esse/essential.gg/wiki.ac.delayed	(from https://essential.gg/en/imprint)
20:05:18	0/-1	---M--	307	error ('')			https://essential.gg/wiki	C:/Users/youareloser/Desktop/Srcs/Essential/esse/essential.gg/wiki.ad.delayed	(from https://essential.gg/en/imprint)
20:05:18	0/-1	---M--	301	error ('')			https://essential.gg/discord	C:/Users/youareloser/Desktop/Srcs/Essential/esse/essential.gg/discord.ae.delayed	(from https://essential.gg/en/imprint)
20:05:18	0/-1	---M--	301	error ('')			https://essential.gg/github	C:/Users/youareloser/Desktop/Srcs/Essential/esse/essential.gg/github.af.delayed	(from https://essential.gg/en/imprint)
20:05:18	0/-1	---M--	301	error ('')			https://essential.gg/discord	C:/Users/youareloser/Desktop/Srcs/Essential/esse/essential.gg/discord.b0.delayed	(from https://essential.gg/en/imprint)
20:05:18	0/-1	---M--	301	error ('')			https://essential.gg/twitter	C:/Users/youareloser/Desktop/Srcs/Essential/esse/essential.gg/twitter.b1.delayed	(from https://essential.gg/en/imprint)
20:05:18	0/-1	---M--	301	error ('')			https://essential.gg/tiktok	C:/Users/youareloser/Desktop/Srcs/Essential/esse/essential.gg/tiktok.b2.delayed	(from https://essential.gg/en/imprint)
